Nioki Airport,Nioki,Africa/Kinshasa
Basango Mboliasa Airport,Kiri,Africa/Kinshasa
Basankusu Airport,Basankusu,Africa/Kinshasa
Tshikapa Airport,Tshikapa,Africa/Lubumbashi
Lodja Airport,Lodja,Africa/Lubumbashi
Ilebo Airport,Ilebo,Africa/Lubumbashi
Sherbro International Airport,Bonthe,Africa/Freetown
Bo Airport,Bo,Africa/Freetown
Kenema Airport,Kenema,Africa/Freetown
Osvaldo Vieira International Airport,Bissau,Africa/Bissau
Smara Airport,Smara,Africa/El_Aaiun
Dakhla Airport,Dakhla,Africa/El_Aaiun
Mogador Airport,Essadouira,Africa/Casablanca
Hassan I Airport,El Aaiún,Africa/El_Aaiun
Nador International Airport,El Aroui,Africa/Casablanca
Baco Airport,Baco,Africa/Addis_Ababa
Beica Airport,Beica,Africa/Addis_Ababa
Combolcha Airport,Dessie,Africa/Addis_Ababa
Dembidollo Airport,Dembidollo,Africa/Addis_Ababa
Gode Airport,Gode,Africa/Addis_Ababa
Gore Airport,Gore,Africa/Addis_Ababa
Kabri Dehar Airport,Kabri Dehar,Africa/Addis_Ababa
Mizan Teferi Airport,Mizan Teferi,Africa/Addis_Ababa
Tippi Airport,Tippi,Africa/Addis_Ababa
Alula Airport,Alula,Africa/Mogadishu
Bosaso Airport,Bosaso,Africa/Mogadishu
Aden Adde International Airport,Mogadishu,Africa/Mogadishu
Galcaio Airport,Galcaio,Africa/Mogadishu
Burao Airport,Burao,Africa/Mogadishu
El Arish International Airport,El Arish,Africa/Cairo
Assiut International Airport,Asyut,Africa/Cairo
Amboseli Airport,Amboseli National Park,Africa/Nairobi
Lokichoggio Airport,Lokichoggio,Africa/Nairobi
Malindi Airport,Malindi,Africa/Nairobi
Nanyuki Airport,Nanyuki,Africa/Nairobi
Gardabya Airport,Sirt,Africa/Tripoli
Gamal Abdel Nasser Airport,Tobruk,Africa/Tripoli
Mitiga Airport,Tripoli,Africa/Tripoli
La Abraq Airport,Al Bayda',Africa/Tripoli
Atbara Airport,Atbara,Africa/Khartoum
Nyala Airport,Nyala,Africa/Khartoum
Port Sudan New International Airport,Port Sudan,Africa/Khartoum
Bukoba Airport,Bukoba,Africa/Dar_es_Salaam
Kigoma Airport,Kigoma,Africa/Dar_es_Salaam
Lindi Airport,Lindi,Africa/Dar_es_Salaam
Musoma Airport,Musoma,Africa/Dar_es_Salaam
Shinyanga Airport,Shinyanga,Africa/Dar_es_Salaam
Tabora Airport,Tabora,Africa/Dar_es_Salaam
Arua Airport,Arua,Africa/Kampala
Gulu Airport,Gulu,Africa/Kampala
Kiwayu (Mkononi) Airport,Kiwayu,Africa/Nairobi
Misratah Airport,Misratah,Africa/Tripoli
Ubari Airport,Ubari,Africa/Tripoli
Boorama Airport,Boorama,Africa/Mogadishu
Moyo Airport,Moyo,Africa/Kampala
Ain Arnat Airport,Setif,Africa/Algiers
